Territorial emissions in MtCO₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d'Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1960,0.41388,2.0222,6.1512,,0.54895,,0.03664,48.7645,3.1596,0.61856,87.4406,30.8248,19.1232,0.41037,0.57525,2.2119,0.17221,40.2634,90.9154,0.043968,0.16122,0.15755,,1.0038,0.17271,5.3817,0,46.8518,0,0.33342,22.2707,0.043968,0.036431,0.2345,0.27114,192.7162,0.021954,,0.087936,0.05496,13.4765,798.8109,16.3905,0.010992,0.2235,,0.49098,5.8214,13.6871,9.2615,0.88633,99.0813,0.46166,2.3185,29.7605,0.040304,0.010992,1.0399,1.7616,16.0327,0.61886,0.021984,,14.6233,0.35163,0.058624,,0.19419,15.0871,298.3959,,0.03664,0.1319,0.01832,5.2683,813.6022,1.4619,,9.3915,0.2235,0.021984,,1.3442,0.41037,0.01832,0.65952,0.28558,0.6154,2.9526,45.3577,1.2125,111.3202,21.3852,37.3586,8.2562,11.1684,6.46,109.2177,1.4684,232.8296,0.74314,96.4673,2.4241,0,,7.797,8.2754,0.080608,9.6666,2.576,,0.16488,0.6925,0.015447,14.9215,11.5188,0.051296,0.39938,0.43835,4.2015,,0.12091,0.34075,,,0.03664,0.17954,63.0523,,14.9854,1.2934,0.59832,0,3.636,1.8824,2.7148,,,0.080608,73.4559,0.86104,11.5318,0.53116,0.029312,3.4032,,23.7884,2.9767,13.0868,,,11.9264,,1.2636,0.17954,0.30405,8.1646,8.3251,199.5478,8.2135,0.17587,0.10943,53.3941,885.0698,0.069825,,0,0.010992,0.014656,0.03664,0.010992,0.014656,0.010992,2.6744,0.82738,15.5865,0,0.71448,1.3923,31.6485,4.4382,0.010992,0.084272,97.8471,12.5401,48.8621,2.2567,1.2496,0.43235,0.032976,49.1705,19.5132,3.2187,11.8739,4.7141,0.82806,3.7095,,0.065952,0.010992,2.5787,1.7241,16.7985,12.0859,,,0.42106,280.6785,0.010992,583.9028,2897.3079,4.3145,36.5432,0,57.0168,7.4839,,,3.631,4.3553,5.9431
1961,0.4908,2.2785,6.0559,,0.45371,,0.047632,51.1267,3.2621,0.64555,87.0083,31.8607,19.741,0.54594,1.7697,2.2904,0.19419,41.5419,92.7021,0.03664,0.12824,0.17587,,1.0404,0.18024,5.6456,0,49.1349,0,0.30411,25.945,0.0916,0.047737,0.28579,0.28213,194.0007,0.021954,,0.087936,0.051296,14.4582,570.6412,18.1963,0.010992,0.26747,,0.49098,6.1094,12.1683,9.6656,0.86432,107.5276,0.55326,2.3554,31.7129,0.043968,0.010992,1.0286,1.6442,17.0659,0.58228,0.021984,,15.0808,0.34063,0.11358,,0.16854,14.9217,318.1618,,0.058624,0.16488,0.021984,5.4404,834.5063,1.3447,,9.8084,0.29312,0.01832,,1.4065,0.61555,0.029312,0.73646,0.29661,0.73629,3.3701,48.9738,1.0916,120.3994,26.0016,36.5088,8.7092,12.3526,7.0608,124.3932,2.1279,283.1313,0.9774,99.4898,2.3986,0.007328,,9.9734,8.5354,0.11358,9.9721,2.6785,,0.16122,1.1945,0.016863,15.3985,11.592,0.069616,0.35541,0.37332,4.6849,,0.11725,0.29312,,,0.047632,0.18686,65.2399,,15.4681,1.3923,0.62767,0,3.7714,2.6299,2.5903,,,0.080608,75.8334,0.88669,11.7551,0.56044,0.05496,4.1096,,26.4266,3.1302,13.3355,,,12.3496,,1.3441,0.20152,0.36268,8.6336,8.7125,207.2208,9.078,0.16122,0.1115,55.7161,912.7526,0.091495,,0,0.021984,0.01832,0.047632,0.010992,0.01832,0.010992,3.5683,0.81267,16.3493,0,0.28946,2.0921,34.3525,4.6572,0.014656,0.087936,102.1198,14.4487,53.6034,2.3336,1.2733,0.42869,0.003664,48.8031,20.3756,3.0609,12.5287,4.8632,0.70349,4.1415,,0.0916,0.010992,4.5979,1.7647,17.3408,12.4846,,,0.40644,289.3941,0.010992,588.5782,2886.8617,4.1168,37.8115,0,51.8798,7.9783,,,2.6637,3.709,5.0613
1962,0.68859,2.4617,5.661,,1.1791,,0.10259,53.6401,3.4289,0.70894,90.9086,33.9089,20.7418,0.72547,1.5902,2.5168,0.26014,43.6304,98.0256,0.069616,0.13557,0.15755,,1.099,0.19794,5.7935,0,53.6109,0.003664,0.37006,30.704,0.084272,0.043968,0.30778,0.28946,206.9908,0.01829,,0.07328,0.084272,16.7074,459.6254,19.4195,0.010992,0.23816,,0.5496,6.2689,14.1545,10.6147,0.90462,114.592,0.58624,2.1719,36.9045,0.047632,0.010992,1.2411,1.5637,18.5711,0.64826,0.021984,,15.8272,0.39553,0.11725,,0.23083,16.7938,335.5383,,0.047632,0.087936,0.025648,5.7186,882.8425,1.4326,,10.1521,0.26381,0.025648,,1.3809,0.65952,0.040304,0.67784,0.30387,0.69959,3.6815,50.5451,1.1977,132.5798,22.9749,37.4284,9.0208,13.1067,7.9324,146.2699,2.117,293.2785,1.047,104.4155,2.622,0.010992,,14.2786,8.9595,0.1319,10.4709,2.8508,,0.25282,1.0479,0.017356,16.1798,11.5517,0.095264,0.39565,0.36061,4.7765,,0.13923,0.32976,,,0.062288,0.25282,63.7437,,16.2511,1.9712,0.64411,0.003664,3.0749,1.9852,2.8797,,,0.087936,83.3002,0.56426,11.1983,0.65934,0.065952,4.175,,30.6874,3.2076,14.0604,,,13.5699,,1.4614,0.19786,0.39199,9.9596,10.3359,216.6035,9.2899,0.19053,0.11946,63.8128,957.9875,0.084272,,0,0.014656,0.01832,0.032976,0.010992,0.01832,0.010992,6.25,0.81267,16.7787,0,0.3261,2.5134,36.6086,4.7783,0.014656,0.10626,105.67,17.2616,59.9758,2.5608,1.3642,0.49464,,51.2727,24.1346,3.1999,14.1648,5.1072,0.76578,5.0285,,0.087936,0.010992,7.2321,1.7939,21.6045,13.1279,,,0.42845,303.6529,0.01832,592.9205,2993.8984,4.0069,39.8194,0.040304,54.0561,9.3377,,,3.8838,3.5827,4.889
1963,0.70674,2.0806,5.4192,,1.1497,,0.084272,50.0327,3.6822,0.67909,95.9945,36.9969,22.2651,0.70715,1.1945,2.8932,0.19053,46.8072,105.6873,0.062288,0.12091,0.15022,,1.2125,0.18961,6.4451,0,55.5194,0.003664,0.35541,34.3741,0.087936,0.047632,0.38838,0.30045,210.9108,0.014626,,0.07328,0.0916,17.337,456.7868,21.2328,0.010992,0.2345,,0.6009,6.9746,13.0259,10.1677,0.98523,120.5145,0.62288,2.2927,40.6788,0.065952,0.014656,1.2485,1.7943,21.5269,1.1245,0.025648,,16.9708,0.42121,0.12458,,0.24182,19.3365,340.422,,0.065952,0.07328,0.029312,6.1424,945.2415,1.7221,,12.2395,0.32976,0.014656,,1.5199,0.69616,0.047632,0.61555,0.24894,0.71058,4.2457,56.2608,1.304,142.439,22.7631,41.3049,9.3834,13.4472,8.1996,164.5746,2.3955,325.2678,1.219,111.9493,2.8529,0.01832,,17.012,9.6064,0.14656,11.2315,3.0228,,0.35541,1.4619,0.018768,17.3664,11.4492,0.10626,0.46149,0.34671,5.828,,0.17587,0.41037,,,0.087936,0.20885,66.2922,,17.4343,1.6012,0.71655,0.003664,3.9541,1.6591,2.6339,,,0.098928,91.1629,0.61922,12.2165,0.84251,0.087936,5.3436,,32.8265,3.5666,14.9653,,,15.6002,,1.7398,0.25648,0.41031,10.2232,11.4718,231.0024,10.0116,6.1335,0.1351,69.4555,1027.4002,0.084272,,0,0.01832,0.021984,0.03664,0.014656,0.021984,0.007328,6.9388,0.86027,18.6665,0.007328,0.37006,3.3014,38.5358,5.3154,0.014656,0.10259,109.7252,21.0832,58.7429,2.5315,1.5427,0.53128,,55.3132,29.085,3.6063,15.1086,5.4793,0.80242,5.5644,,0.10626,0.010992,1.6775,1.9441,22.6399,14.1024,,,0.43214,325.6093,0.021984,603.382,3126.4838,4.3148,42.8514,0.032976,56.1517,9.1104,,,2.9165,3.4445,4.7004
1964,0.83855,2.0147,5.643,,1.2229,,0.0916,55.67,3.9203,0.66028,103.5448,38.9406,23.6972,1.0845,1.5975,2.9746,0.17954,49.7901,103.5613,0.084272,0.1429,0.20152,,1.48,0.18436,7.302,0,56.621,0.007328,0.34075,42.8181,0.10992,0.047632,0.33713,0.33709,237.5777,0.029253,,0.07328,0.098928,17.5051,460.6444,21.6829,0.010992,0.26747,,0.67406,7.9075,14.279,9.8861,0.99997,125.4405,0.76211,1.974,43.1578,0.084272,0.014656,1.7465,2.1423,25.4912,1.2307,0.025648,,18.0456,0.40653,0.12091,,0.42491,22.8312,371.374,,0.065952,0.19053,0.029312,6.5414,968.6318,1.6488,,13.2016,0.3151,0.021984,,1.769,0.69982,0.058624,0.64853,0.30021,0.72151,4.2201,62.3851,1.3076,139.4832,22.3743,47.5191,9.064,14.2159,9.1373,175.7433,4.0622,359.3526,1.2408,119.0299,2.8233,0.01832,,25.3146,10.2141,0.17221,11.946,3.2611,,0.48365,0.66318,0.057505,18.4789,12.3065,0.12824,0.48347,0.32964,7.3994,,0.17587,0.4983,,,0.11725,0.30778,74.2001,,18.548,2.0445,0.81183,0.007328,4.415,2.139,2.8574,,0.029312,0.15022,96.7875,1.0992,13.092,0.94874,0.095264,7.2667,,35.6182,4.0493,16.1703,,0.010992,16.039,,2.033,0.26747,0.43226,12.2528,12.8228,242.8696,11.0074,6.2691,0.14955,72.037,1092.6644,0.03664,,0,0.01832,0.021984,0.047632,0.01832,0.025648,0.010992,7.0412,0.9225,21.1465,0.007328,0.30411,3.6017,40.1073,6.0236,0.01832,0.13557,119.546,22.1952,64.3238,2.2714,1.7079,0.60456,0.010992,60.3682,28.1438,4.3613,16.9072,5.8288,1.0332,7.474,,0.1319,0.010992,3.7915,2.7535,26.3064,15.019,,,0.49068,346.245,0.01832,607.866,3264.3065,4.5527,45.714,0.062288,56.55,11.7878,,,3.631,3.275,4.4691
1965,1.0069,2.1722,6.5885,,1.1862,,0.15022,58.8048,4.1606,0.59239,113.6063,38.1845,25.1466,1.3154,1.2274,3.1213,0.20518,52.8245,105.3346,0.084272,0.15022,0.17954,,1.5093,0.1654,7.5136,0,56.2726,0.007328,0.33342,46.2691,0.10259,0.03664,0.37739,0.31144,251.917,0.025589,,0.087936,0.10626,17.7473,500.2937,22.8587,0.014656,0.24549,,0.84591,8.1438,14.5941,8.8696,1.1501,122.2301,1.1725,2.4685,44.3044,0.12091,0.014656,1.5453,2.274,27.6095,1.0402,0.029312,,19.1426,0.64448,0.13557,,0.34427,25.3001,365.845,,0.084272,0.21618,0.029312,6.9436,959.842,1.7038,,16.999,0.34442,0.021984,,1.9739,0.69616,0.065952,1.0772,0.30393,0.75073,4.8025,61.2744,1.3955,153.6967,24.6682,53.7184,19.2931,13.7174,12.9288,189.543,2.9886,386.9696,1.4204,126.269,2.4639,0.010992,,35.3906,10.8357,0.17954,12.674,3.312,,0.55693,1.0149,0.062467,19.604,12.2039,0.1319,0.55678,0.34796,8.3802,,0.19786,0.47266,,,0.16122,0.30411,75.1679,,19.691,1.9566,0.83535,0.003664,4.2544,2.0033,2.7255,,0.032976,0.17954,100.4146,1.2311,13.6853,0.78016,0.0916,11.7501,,44.2221,4.1692,16.3899,,0.025648,16.8296,,2.1243,0.30411,0.54948,11.9515,13.9646,246.9772,11.5825,6.2874,0.19527,78.6369,1159.1189,0.047632,,0,0.021984,0.025648,0.040304,0.014656,0.029312,0.010992,4.2163,1.692,21.7594,0.007328,0.28213,2.4256,39.066,6.1983,0.025648,0.1319,128.14,24.9783,71.0205,2.656,2.2301,0.79509,0.080608,62.5658,30.3399,3.6723,17.8448,6.184,1.1615,7.4449,,0.1319,0.010992,5.1911,2.4604,27.353,15.9423,,,0.62601,367.2475,0.021984,622.1153,3399.5394,5.5163,48.5654,0.047632,60.7296,13.1499,,,3.9278,3.9123,5.2092
1966,1.0912,2.5496,8.4209,,1.5525,,0.34808,63.0727,4.3956,0.55394,115.7362,39.2454,26.5625,1.0919,0.64853,3.1763,0.26747,55.796,105.104,0.080608,0.11358,0.20152,,1.6888,0.15467,7.4454,0,64.1539,0.010992,0.49098,48.716,0.10259,0.047632,0.43968,0.34442,259.0744,0.021984,,0.084272,0.084272,18.7725,549.4666,23.4742,0.01832,0.30778,,0.99247,8.0722,15.1694,8.294,1.2417,121.5695,1.2384,2.4025,50.0857,0.13923,0.014656,1.6697,2.4167,26.5322,1.3038,0.025648,,20.2156,0.82398,0.13923,,0.32225,29.4888,382.8359,,0.12091,0.38106,0.032976,7.3359,951.1545,1.44,,18.6206,0.38838,0.029312,,1.7396,0.71814,0.065952,1.1798,0.30396,0.80566,5.1616,61.7096,1.4944,159.3714,23.375,64.1034,27.6761,15.0947,13.5814,213.9971,3.516,419.7802,1.5813,133.3508,2.6801,0.010992,,35.1231,11.4444,0.2345,13.3866,3.6229,,0.61189,2.6271,0.061096,20.7064,11.6177,0.15022,0.5787,0.42851,9.8344,,0.19053,0.41403,,,0.17954,0.2748,80.8446,,20.8116,1.9529,0.82776,0.007328,5.4595,2.1242,2.8061,,0.032976,0.19053,103.5648,1.5096,14.0003,0.95964,0.13551,12.8932,,47.5999,4.1264,19.5401,,0.029312,17.1257,,2.1062,0.34075,0.51284,13.2411,16.1041,252.4237,11.8351,6.2728,0.21268,84.0905,1224.0874,0.043968,,0,0.021984,0.029312,0.043968,0.01832,0.025648,0.010992,6.4073,1.7176,21.5639,0.007328,0.30045,0.47892,38.8367,6.141,0.025648,0.13923,128.2349,29.9822,77.617,2.6597,2.4288,1.0955,0.20152,72.5174,31.4966,4.9109,19.4616,6.5316,1.3701,9.4711,,0.17954,0.010992,4.0515,2.8816,31.5058,16.8436,,,0.73232,387.781,0.025648,618.0783,3571.4177,5.3988,51.3345,0.076944,56.974,19.1811,,,3.4625,3.4982,6.0409
1967,1.2819,2.6775,8.4316,,0.99181,,0.56426,65.476,4.6015,0.68236,122.2806,39.9559,27.7924,1.701,1.0039,3.3711,0.33709,58.3745,107.3647,0.12091,0.1429,0.21251,,1.8904,0.19052,7.5205,0,66.022,0.003664,0.43968,55.1077,0.10259,0.047632,0.38838,0.458,281.637,0.01832,,0.0916,0.11725,19.2383,460.2332,24.6868,0.01832,0.32243,,0.87525,8.161,15.7369,10.2167,1.3623,121.3118,1.3593,2.2888,49.0338,0.087936,0.021984,1.5669,2.5889,19.6499,1.1573,0.025648,,21.1355,1.073,0.16854,,0.35523,28.5877,407.2925,,0.13923,1.0113,0.032976,7.6781,936.0132,1.4949,,19.5042,0.4177,0.03664,,1.9813,0.72547,0.047632,1.3227,0.26,0.87525,6.0521,58.811,1.4431,159.5571,24.54,67.8809,18.373,16.3948,13.5279,234.1481,3.8642,489.9157,1.413,139.4093,2.6984,0.021984,,25.4208,11.9668,0.31877,14.0022,3.5646,,0.61189,18.4922,0.060649,21.674,11.3613,0.16488,0.84248,0.36622,10.1276,,0.2235,0.52029,,,0.19786,0.4983,90.0055,,21.7763,2.1506,0.8361,0.007328,5.4083,1.8713,3.6158,,0.047632,0.21251,106.6894,1.4729,13.6268,1.0805,0.13181,12.8245,,52.392,4.1699,19.3042,,0.13557,18.1759,,2.15,0.43602,0.48725,13.6403,18.2089,259.0144,12.3916,6.6831,0.25633,92.0289,1279.9687,0.040304,,0,0.021984,0.032976,0.051296,0.01832,0.025648,0.010992,25.4855,0.69914,21.7826,0.007328,0.25282,2.8213,38.7429,6.2029,0.032976,0.22717,133.7601,35.1132,86.394,2.9451,2.9273,1.3337,0.22717,68.9297,32.527,4.6032,21.9699,6.8333,1.7581,12.1568,,0.19786,0.014656,4.6342,3.0832,33.4791,17.6327,,,0.80918,405.4133,0.916,592.0644,3705.461,4.8788,53.776,0.084272,65.7524,22.9622,,,3.0521,4.7876,5.2945
1968,1.2234,3.0692,9.0502,,1.6695,,0.98928,69.0092,4.7361,0.63451,128.7681,42.3301,28.5913,1.6277,1.1029,3.8657,0.43968,60.0436,118.4412,0.10259,0.15389,0.2235,,2.1761,0.17716,8.0436,0,77.2104,0.014656,0.42869,59.4635,0.10259,0.05496,0.46166,0.50563,303.2613,0.029282,,0.1832,0.12458,21.2022,495.5139,26.5728,0.01832,0.45067,0,1.0364,8.7298,16.0195,9.5003,1.6222,126.9213,1.5975,3.366,53.28,0.12091,0.021984,2.3473,3.1126,22.8726,1.2598,0.029312,,21.7257,1.725,0.1832,,0.3955,33.2815,421.1161,,0.15389,1.9602,0.03664,7.9019,984.582,1.6488,,22.2863,0.54227,0.040304,,2.1391,0.74746,0.062288,1.33,0.26363,1.2232,6.198,61.1298,1.5934,174.0705,27.5626,82.3296,19.6957,17.798,13.7942,249.1868,3.8785,562.5683,1.504,143.2888,2.8154,0.032976,,23.1493,12.3022,0.16854,14.3996,3.6933,,0.88282,30.1144,0.073834,22.3048,12.2663,0.16854,0.91207,0.38815,10.5302,,0.19786,0.63754,,,0.2345,0.63754,93.8872,,22.401,2.4802,0.89425,0.007328,5.6202,2.7762,2.9268,,0.047632,0.25282,113.4528,1.8393,13.4731,1.2307,0.16113,6.6259,,59.269,4.4526,21.1137,,0.16122,20.8418,,2.6007,0.50197,0.58981,14.4866,22.2228,275.7938,12.9924,7.0752,0.24984,100.0759,1315.9424,0.05496,,0.003664,0.032976,0.03664,0.040304,0.021984,0.029312,0.014656,29.0791,0.098126,23.3004,0.007328,0.36274,5.1335,40.546,6.6329,0.03664,0.15389,137.9538,37.1971,97.0062,3.2381,2.8532,1.4509,0.27846,77.6096,35.9887,5.9539,24.1406,7.0288,1.6518,17.0833,,0.19419,0.014656,4.0369,3.5923,36.2655,18.1491,,,0.98133,416.7367,1.2421,606.4956,3840.9232,4.8784,55.3957,0.062288,65.5721,23.6009,,,11.6369,4.5676,6.3777
1969,0.94123,3.2413,11.263,,2.7831,,1.2568,77.2489,4.9365,0.83041,136.4135,44.6752,29.7891,1.7408,1.2714,3.7493,0.47998,62.5532,123.4954,0.13557,0.20152,0.19786,,2.5462,0.23186,8.3404,0,84.0718,0.01832,0.48731,66.3077,0.12091,0.07328,1.3153,0.57158,307.1192,0.036581,,0.18686,0.16122,22.5315,607.6943,28.0163,0.01832,0.50197,0.010992,1.1462,9.0537,17.2433,12.4333,1.6698,134.7317,1.8906,3.648,59.3499,0.084272,0.01832,2.6512,3.5889,19.6648,1.1902,0.043968,,22.6228,1.6664,0.21251,,0.43215,37.8968,446.5779,,0.16122,1.4326,0.047632,8.2351,1051.8029,1.488,,25.4343,0.4067,0.047632,,2.2781,0.74746,0.058624,1.3667,0.3149,1.1756,7.7515,62.3802,1.2637,177.4113,33.3622,83.0387,22.6013,18.4944,14.8009,269.6756,4.2669,653.8528,1.7568,149.1923,3.1265,0.010992,,26.8095,12.811,0.31877,14.999,4.3441,,1.2711,35.5222,0.087555,23.2473,13.1895,0.16854,0.84975,0.38076,9.1378,,0.16122,0.65219,,,0.2748,0.57158,102.1762,,23.3368,2.6818,0.92724,0.007328,5.8174,3.2378,3.2126,,0.065952,0.39938,115.8057,1.5572,14.257,1.2856,0.19044,12.0999,,64.0794,4.6153,22.1938,,0.2345,20.2134,,2.3844,0.55693,0.52014,15.2853,22.8295,293.3726,14.5928,7.1666,0.33656,111.5239,1370.4678,0.058624,,0,0.025648,0.062288,0.032976,0.029312,0.029312,0.014656,35.271,0.49014,24.161,0.007328,1.0845,6.8883,43.0497,6.8773,0.03664,0.16122,143.1428,42.4682,96.729,4.3151,3.8436,1.5206,0.30411,86.3847,38.0543,7.2326,26.291,7.3229,1.7947,14.5487,,0.24182,0.010992,3.9012,3.8521,38.7527,18.9165,,,1.1754,433.9701,20.5074,628.3899,4035.1563,5.5894,57.7674,0.043968,68.9332,27.0556,,,4.6753,4.2709,6.7439
